SEQ='SI'     NUCCHG=18                                                  /LS/

   PARENT TERM INDEXING                 BWNP= 114331065.6   NPRNTI= 5   NPRNTF=21
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          3S2 3P1             (2)1( 2.5)        0.0 
     2          3S1 3P2             (4)1( 5.5)    98230.4 
     3          3S1 3P2             (2)2( 4.5)   131116.2 
     4          3S1 3P2             (2)0( 0.5)   165265.2 
     5          3S1 3P2             (2)1( 2.5)   178761.2 
     6          3S2 3D1             (2)2( 4.5)   226358.8*
     7          3P3                 (2)2( 4.5)   259544.5*
     8          3P3                 (4)0( 1.5)   264881.4*
     9          3P3                 (2)1( 2.5)   291151.3*
    10          3S1 3P1 3D1         (4)3(13.5)   297520.1*
    11          3S1 3P1 3D1         (4)1( 5.5)   320712.9*
    12          3S1 3P1 3D1         (4)2( 9.5)   322867.8*
    13          3S1 3P1 3D1         (2)2( 4.5)   331221.8*
    14          3S1 3P1 3D1         (2)3( 6.5)   353828.0*
    15          3S1 3P1 3D1         (2)1( 2.5)   382079.3*
    16          3S1 3P1 3D1         (2)3( 6.5)   386266.0*
    17          3S1 3P1 3D1         (2)1( 2.5)   397682.8*
    18          3S1 3P1 3D1         (2)2( 4.5)   399436.3*
    19          3P2 3D1             (2)3( 6.5)   443754.3*
    20          3P2 3D1             (4)3(13.5)   450589.4*
    21          3P2 3D1             (2)1( 2.5)   456104.3*

   LS RESOLVED TERM INDEXING            BWNR= 114955384.5   NTRM= 963
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1  9999    3S2 3P2             (3)1( 4.0)        0.0 
     2  9999    3S2 3P2             (1)2( 2.0)    15988.1 
     3  9999    3S2 3P2             (1)0( 0.0)    36529.0 
     4  9999    3S1 3P3             (5)0( 2.0)    78449.8 
     5  9999    3S1 3P3             (3)2( 7.0)   118273.3 
     6  9999    3S1 3P3             (3)1( 4.0)   137647.5 
     7  9999    3S1 3P3             (1)2( 2.0)   158747.1 
     8  9999    3S1 3P3             (3)0( 1.0)   186772.2 
     9  9999    3S1 3P3             (1)1( 1.0)   194385.9 
    10  9999    3S2 3P1 3D1         (3)3(10.0)   207358.8 
    11  9999    3S2 3P1 3D1         (1)2( 2.0)   231806.9 
    12  9999    3S2 3P1 3D1         (3)1( 4.0)   235698.6 
    13  9999    3S2 3P1 3D1         (3)2( 7.0)   242278.8 
    14  9999    3P4                 (3)1( 4.0)   263672.9 
    15  9999    3S2 3P1 3D1         (1)3( 3.0)   269271.8 
    16  9999    3P4                 (1)2( 2.0)   270069.9 
    17  9999    3S2 3P1 3D1         (1)1( 1.0)   273608.0 
    18  9999    3S1 3P2 3D1         (5)3(17.0)   285211.7 
    19  9999    3S1 3P2 3D1         (5)2(12.0)   293280.2 
    20  9999    3S1 3P2 3D1         (3)3(10.0)   307814.1 
    21  9999    3P4                 (1)0( 0.0)   311162.7 
    22  9999    3S1 3P2 3D1         (5)1( 7.0)   317098.1 
    23     1    3S2 3P1 4S1         (3)1( 4.0)   318829.2 
    24     1    3S2 3P1 4S1         (1)1( 1.0)   324894.8 
    25  9999    3S1 3P2 3D1         (3)1( 4.0)   325884.0 
    26  9999    3S1 3P2 3D1         (3)4(13.0)   343389.3 
    27  9999    3S1 3P2 3D1         (3)2( 7.0)   347352.4 
    28  9999    3S1 3P2 3D1         (1)3( 3.0)   355522.0 
    29  9999    3S1 3P2 3D1         (1)4( 4.0)   355546.0 
    30     1    3S2 3P1 4P1         (1)1( 1.0)   356221.0 
    31     1    3S2 3P1 4P1         (3)2( 7.0)   360493.8 
    32     1    3S2 3P1 4P1         (3)1( 4.0)   364200.1 
    33  9999    3S1 3P2 3D1         (3)2( 7.0)   365830.6 
    34     1    3S2 3P1 4P1         (3)0( 1.0)   365937.0 
    35  9999    3S1 3P2 3D1         (3)3(10.0)   366133.7 
    36  9999    3S1 3P2 3D1         (1)1( 1.0)   367652.8 
    37     1    3S2 3P1 4P1         (1)2( 2.0)   371673.5 
    38  9999    3S1 3P2 3D1         (3)1( 4.0)   371840.3 
    39  9999    3S1 3P2 3D1         (3)0( 1.0)   375224.4 
    40  9999    3S1 3P2 3D1         (3)2( 7.0)   381478.6 
    41     1    3S2 3P1 4P1         (1)0( 0.0)   384025.9 
    42  9999    3S1 3P2 3D1         (3)3(10.0)   387328.4 
    43  9999    3S1 3P2 3D1         (1)2( 2.0)   389246.4 
    44  9999    3S1 3P2 3D1         (3)2( 7.0)   402446.0 
    45  9999    3S1 3P2 3D1         (1)2( 2.0)   405314.6 
    46  9999    3S1 3P2 3D1         (1)0( 0.0)   408498.0 
    47     2    3S1 3P2 4S1         (5)1( 7.0)   412469.8 
    48     1    3S2 3P1 4D1         (1)2( 2.0)   417599.5 
    49     1    3S2 3P1 4D1         (3)2( 7.0)   419436.5 
    50  9999    3S1 3P2 3D1         (1)1( 1.0)   420934.3 
    51     1    3S2 3P1 4D1         (3)3(10.0)   420942.3 
    52  9999    3S1 3P2 3D1         (3)1( 4.0)   420955.5 
    53     1    3S2 3P1 4D1         (3)1( 4.0)   424207.2 
    54     1    3S2 3P1 4D1         (1)3( 3.0)   426105.9 
    55     2    3S1 3P2 4S1         (3)1( 4.0)   428206.9 
    56     1    3S2 3P1 4D1         (1)1( 1.0)   428480.1 
    57  9999    3S1 3P2 3D1         (1)3( 3.0)   436551.6 
    58  9999    3P3 3D1             (1)0( 0.0)   443813.7 
    59     1    3S2 3P1 4F1         (1)3( 3.0)   444275.2 
    60     1    3S2 3P1 4F1         (3)3(10.0)   445926.3 
    61     1    3S2 3P1 4F1         (3)4(13.0)   447491.8 
    62     3    3S1 3P2 4S1         (3)2( 7.0)   448764.3 
    63     1    3S2 3P1 4F1         (3)2( 7.0)   450883.5 
    64  9999    3P3 3D1             (3)3(10.0)   451013.9 
    65  9999    3S1 3P2 3D1         (1)2( 2.0)   451789.8 
    66     2    3S1 3P2 4P1         (3)0( 1.0)   451968.9 
    67  9999    3P3 3D1             (3)2( 7.0)   452650.6 
    68     1    3S2 3P1 4F1         (1)4( 4.0)   454116.5 
    69     1    3S2 3P1 5S1         (3)1( 4.0)   454498.6 
    70     2    3S1 3P2 4P1         (5)2(12.0)   454591.7 
    71     1    3S2 3P1 4F1         (1)2( 2.0)   454766.8 
    72  9999    3P3 3D1             (5)2(12.0)   455072.3 
    73     1    3S2 3P1 5S1         (1)1( 1.0)   456413.6 
    74     2    3S1 3P2 4P1         (5)1( 7.0)   458791.8 
    75     2    3S1 3P2 4P1         (5)0( 2.0)   459472.2 
    76     3    3S1 3P2 4S1         (1)2( 2.0)   459620.0 
    77  9999    3S2 3D2             (3)3(10.0)   460735.5 
    78     2    3S1 3P2 4P1         (3)2( 7.0)   464778.1 
    79     1    3S2 3P1 5P1         (1)1( 1.0)   470789.0 
    80     2    3S1 3P2 4P1         (3)1( 4.0)   471266.1 
    81     1    3S2 3P1 5P1         (3)2( 7.0)   472564.9 
