 Fe I levels                                                            
  n    E(n)(cm-1)   g    label
   1          0.000       9.0     a    
   2        415.933       7.0     a    
   3        704.003       5.0     a    
   4        888.132       3.0     a    
   5        978.074       1.0     a    
   6       6928.280      11.0     a    
   7       7376.775       9.0     a    
   8       7728.071       7.0     a    
   9       7985.795       5.0     a    
  10       8154.725       3.0     a    
  11      11976.260       9.0     a    
  12      12560.953       7.0     a    
  13      12968.573       5.0     a    
  14      17550.210       7.0     a    
  15      17727.017       5.0     a    
  16      17927.411       3.0     a    
  17      18378.215       5.0     a    
  18      19350.894      11.0     z    
  19      19390.197      13.0     a    
  20      19552.493       3.0     a    
  21      19562.457       9.0     z    
  22      19621.036      11.0     a    
  23      19757.040       7.0     z    
  24      19788.280       9.0     a    
  25      19912.511       5.0     z    
  26      20019.648       3.0     z    
  27      20037.860       1.0     a    
  28      20641.144       9.0     b    
  29      20874.521       7.0     b    
  30      21039.021       5.0     b    
  31      21715.770      11.0     a    
  32      21999.167       9.0     a    
  33      22249.461       7.0     a    
  34      22650.427      13.0     z    
  35      22838.360       5.0     b    
  36      22845.880      11.0     z    
  37      22946.860       3.0     b    
  38      22996.686       9.0     z    
  39      23051.790       1.0     b    
  40      23110.948       7.0     z    
  41      23192.508       5.0     z    
  42      23244.847       3.0     z    
  43      23270.392       1.0     z    
  44      23711.467       9.0     z    
  45      23783.654      11.0     b    
  46      24118.854       9.0     b    
  47      24180.876       7.0     z    
  48      24335.804       5.0     c    
  49      24338.805       7.0     b    
  50      24506.928       5.0     z    
  51      24574.690       9.0     a    
  52      24772.060       3.0     c    
  53      25091.620       1.0     c    
  54      25900.002       9.0     z    
  55      26105.950      13.0     b    
  56      26140.193       7.0     z    
  57      26225.030       7.0     a    
  58      26339.708       5.0     z    
  59      26351.090      11.0     b    
  60      26406.490       3.0     a    
  61      26479.393       3.0     z    
  62      26550.495       1.0     z    
  63      26623.730       5.0     a    
  64      26627.640       9.0     b    
  65      26874.562      11.0     z    
  66      27166.837       9.0     z    
  67      27394.703       7.0     z    
  68      27543.000       3.0     a    
  69      27559.598       5.0     z    
  70      27666.362       3.0     z    
  71      28604.610       5.0     a    
  72      28819.980      11.0     a    
  73      29056.341       7.0     z    
  74      29313.040      13.0     a    
  75      29320.050       3.0     b    
  76      29356.780       5.0     b    
  77      29371.860       7.0     b    
  78      29469.033       5.0     z    
  79      29732.749       3.0     z    
  80      29798.960       9.0     b    
  81      30694.800       1.0     1S0  
  82      31307.272       9.0     z    
  83      31322.639       7.0     z    
  84      31686.377       5.0     z    
  85      31805.097       7.0     z    
  86      31937.350       3.0     z    
  87      32134.014       5.0     z    
  88      32873.680       9.0     c    
  89      33095.960       9.0     y    
  90      33412.780       7.0     c    
  91      33507.140       7.0     y    
  92      33695.420      11.0     y    
  93      33765.330       5.0     c    
  94      33801.600       5.0     y    
  95      33946.970       5.0     z    
  96      34017.130       3.0     y    
  97      34039.540       9.0     y    
  98      34121.620       1.0     y    
  99      34328.780       7.0     y    
 100      34362.890       3.0     z    
 101      34547.240       5.0     y    
 102      34555.640       1.0     z    
 103      34636.820       5.0     b    
 104      34692.170       3.0     y    
 105      34782.450      11.0     z    
 106      34843.980      13.0     z    
 107      35257.350       9.0     z    
 108      35379.240      11.0     z    
 109      35611.650       7.0     z    
 110      35767.590       9.0     z    
 111      35856.420       5.0     z    
 112      36079.400       7.0     z    
 113      36686.200       9.0     y    
 114      36767.000       7.0     y    
 115      37157.590       5.0     y    
 116      37162.770       7.0     y    
 117      37409.580       3.0     y    
 118      37521.190       5.0     y    
 119      38175.380       7.0     y    
 120      38678.070       5.0     y    
 121      38995.760       3.0     y
   Transitions                                                            
  n1    n2     wl (A)       A           Omega                                     
    2    1     240423.340   2.510E-03   6.300E-01
    3    1     142044.850   0.000E+00   4.500E-01
    3    2     347137.850   1.600E-03   3.500E-01
    4    1     112595.880   0.000E+00   2.700E-01
    4    2     211775.120   0.000E+00   2.100E-01
    4    3     543097.500   6.000E-04   1.500E-01
    5    1     102241.750   0.000E+00   9.000E-02
    5    2     177891.310   0.000E+00   7.000E-02
    5    3     364868.960   0.000E+00   5.000E-02
    5    4    1111827.620   0.000E+00   3.000E-02
    6    1      14433.600   2.000E-03   9.900E-01
    6    2      15355.450   5.000E-04   7.700E-01
    6    3      16066.120   0.000E+00   5.500E-01
    6    4      16555.890   0.000E+00   3.300E-01
    6    5      16806.140   0.000E+00   1.100E-01
    7    1      13556.060   1.500E-03   8.100E-01
    7    2      14366.080   7.000E-04   6.300E-01
    7    3      14986.280   8.000E-04   4.500E-01
    7    4      15411.540   0.000E+00   2.700E-01
    7    5      15628.170   0.000E+00   9.000E-02
    7    6     222967.930   3.600E-03   9.900E-01
    8    1      12939.840   5.000E-04   6.300E-01
    8    2      13675.890   1.700E-03   4.900E-01
    8    3      14236.760   1.000E-04   3.500E-01
    8    4      14620.010   9.000E-04   2.100E-01
    8    5      14814.820   0.000E+00   7.000E-02
    8    6     125032.660   0.000E+00   7.700E-01
    8    7     284660.230   3.100E-03   6.300E-01
    9    1      12522.230   0.000E+00   4.500E-01
    9    2      13210.280   1.100E-03   3.500E-01
    9    3      13732.880   1.600E-03   2.500E-01
    9    4      14089.140   0.000E+00   1.500E-01
    9    5      14269.970   8.000E-04   5.000E-02
    9    6      94561.310   0.000E+00   5.500E-01
    9    7     164198.220   0.000E+00   4.500E-01
    9    8     388011.980   1.700E-03   3.500E-01
   10    1      12262.830   0.000E+00   2.700E-01
   10    2      12921.910   2.000E-04   2.100E-01
   10    3      13421.520   1.500E-03   1.500E-01
   10    4      13761.610   1.900E-03   9.000E-02
   10    5      13934.080   0.000E+00   3.000E-02
   10    6      81536.470   0.000E+00   3.300E-01
   10    7     128542.970   0.000E+00   2.700E-01
   10    8     234381.960   0.000E+00   2.100E-01
   10    9     591961.170   5.000E-04   1.500E-01
   11    1       8349.850   7.000E-04   8.100E-01
   11    2       8650.270   1.000E-04   6.300E-01
   11    3       8871.340   0.000E+00   4.500E-01
   11    4       9018.650   0.000E+00   2.700E-01
   11    5       9092.410   0.000E+00   9.000E-02
   11    6      19809.900   9.400E-03   9.900E-01
   11    7      21741.560   1.100E-03   8.100E-01
   11    8      23539.440   1.700E-03   6.300E-01
   11    9      25059.740   0.000E+00   4.500E-01
   11   10      26167.500   0.000E+00   2.700E-01
   12    1       7961.180   0.000E+00   6.300E-01
   12    2       8233.830   4.000E-04   4.900E-01
   12    3       8433.870   1.000E-04   3.500E-01
   12    4       8566.910   0.000E+00   2.100E-01
   12    5       8633.430   0.000E+00   7.000E-02
   12    6      17753.560   0.000E+00   7.700E-01
   12    7      19289.460   1.700E-03   6.300E-01
   12    8      20691.590   1.600E-03   4.900E-01
   12    9      21857.170   3.500E-03   3.500E-01
   12   10      22695.150   0.000E+00   2.100E-01
   12   11     171029.930   0.000E+00   6.300E-01
   13    1       7710.950   0.000E+00   4.500E-01
   13    2       7966.450   0.000E+00   3.500E-01
   13    3       8153.570   2.000E-04   2.500E-01
   13    4       8277.840   0.000E+00   1.500E-01
   13    5       8339.940   0.000E+00   5.000E-02
   13    6      16555.490   0.000E+00   5.500E-01
   13    7      17883.340   0.000E+00   4.500E-01
   13    8      19082.140   1.000E-04   3.500E-01
   13    9      20069.130   1.700E-03   2.500E-01
   13   10      20773.400   5.200E-03   1.500E-01
   13   11     100774.650   0.000E+00   4.500E-01
   13   12     245326.530   0.000E+00   3.500E-01
   14    1       5697.940   1.200E-01   6.300E-01
   14    2       5836.250   9.000E-02   4.900E-01
   14    3       5936.050   3.900E-02   3.500E-01
   14    4       6001.650   8.500E-03   2.100E-01
   14    5       6034.230   0.000E+00   7.000E-02
   14    6       9414.480   1.000E-02   7.700E-01
   14    7       9829.520   2.900E-03   6.300E-01
   14    8      10181.080   0.000E+00   4.900E-01
   14    9      10455.420   0.000E+00   3.500E-01
   14   10      10643.410   0.000E+00   2.100E-01
   14   11      17940.600   0.000E+00   6.300E-01
   14   12      20043.060   0.000E+00   4.900E-01
   14   13      21826.260   0.000E+00   3.500E-01
   15    1       5641.110   1.400E-01   4.500E-01
   15    2       5776.650   9.600E-03   3.500E-01
   15    3       5874.400   3.400E-02   2.500E-01
   15    4       5938.640   5.300E-02   1.500E-01
   15    5       5970.530   2.400E-02   5.000E-02
   15    6       9260.340   0.000E+00   5.500E-01
   15    7       9661.610   5.400E-03   4.500E-01
   15    8      10001.050   3.900E-03   3.500E-01
   15    9      10265.650   1.600E-02   2.500E-01
   15   10      10446.820   0.000E+00   1.500E-01
   15   11      17389.020   0.000E+00   4.500E-01
   15   12      19357.100   0.000E+00   3.500E-01
   15   13      21015.270   0.000E+00   2.500E-01
   15   14     565588.470   0.000E+00   3.500E-01
   16    1       5578.050   0.000E+00   2.700E-01
   16    2       5710.540   1.500E-01   2.100E-01
   16    3       5806.050   8.800E-02   1.500E-01
   16    4       5868.790   2.100E-02   9.000E-02
   16    5       5899.940   0.000E+00   3.000E-02
   16    6       9091.630   0.000E+00   3.300E-01
   16    7       9478.100   0.000E+00   2.700E-01
   16    8       9804.560   2.900E-03   2.100E-01
   16    9      10058.730   4.300E-03   1.500E-01
   16   10      10232.600   3.500E-03   9.000E-02
   16   11      16803.470   0.000E+00   2.700E-01
   16   12      18634.260   0.000E+00   2.100E-01
   16   13      20166.010   0.000E+00   1.500E-01
   16   14     265110.640   0.000E+00   2.100E-01
   16   15     499016.940   0.000E+00   1.500E-01
   17    1       5441.220   5.300E-03   4.500E-01
   17    2       5567.220   3.600E-01   3.500E-01
   17    3       5657.960   1.800E-03   2.500E-01
   17    4       5717.530   3.800E-03   1.500E-01
   17    5       5747.080   2.000E-03   5.000E-02
   17    6       8733.670   0.000E+00   5.500E-01
   17    7       9089.720   0.000E+00   4.500E-01
   17    8       9389.540   0.000E+00   3.500E-01
   17    9       9622.400   0.000E+00   2.500E-01
   17   10       9781.400   0.000E+00   1.500E-01
   17   11      15620.230   0.000E+00   4.500E-01
   17   12      17190.220   0.000E+00   3.500E-01
   17   13      18485.510   0.000E+00   2.500E-01
   17   14     120772.220   0.000E+00   3.500E-01
   17   15     153563.130   0.000E+00   2.500E-01
   17   16     221825.890   0.000E+00   1.500E-01
   18    1       5114.440   0.000E+00   9.900E-01
   18    2       5225.600   0.000E+00   7.700E-01
   18    3       5305.460   1.800E-01   5.500E-01
   18    4       5357.800   1.000E-03   3.300E-01
   18    5       5383.750   7.900E-02   1.100E-01
   18    6       7921.290   0.000E+00   1.210E+00
   18    7       8213.070   0.000E+00   9.900E-01
   18    8       8457.070   0.000E+00   7.700E-01
   18    9       8645.510   0.000E+00   5.500E-01
   18   10       8773.650   0.000E+00   3.300E-01
   18   11      13199.170   0.000E+00   9.900E-01
   18   12      14303.000   0.000E+00   7.700E-01
   18   13      15188.520   0.000E+00   5.500E-01
   18   14      49942.990   0.000E+00   7.700E-01
   18   15      54780.230   0.000E+00   5.500E-01
   18   16      61535.360   0.000E+00   3.300E-01
   18   17      85158.710   0.000E+00   5.500E-01
   19    1       4990.550   0.000E+00   1.170E+00
   19    2       5096.340   0.000E+00   9.100E-01
   19    3       5172.270   0.000E+00   6.500E-01
   19    4       5222.010   5.700E-01   3.900E-01
   19    5       5246.650   0.000E+00   1.300E-01
   19    6       7628.010   0.000E+00   1.430E+00
   19    7       7898.220   0.000E+00   1.170E+00
   19    8       8123.620   0.000E+00   9.100E-01
   19    9       8297.330   0.000E+00   6.500E-01
   19   10       8415.290   0.000E+00   3.900E-01
   19   11      12404.490   0.000E+00   1.170E+00
   19   12      13374.510   0.000E+00   9.100E-01
   19   13      14145.700   0.000E+00   6.500E-01
   19   14      40198.580   0.000E+00   9.100E-01
   19   15      43274.250   0.000E+00   6.500E-01
   19   16      47383.280   0.000E+00   3.900E-01
   19   17      60253.850   0.000E+00   6.500E-01
   19   18     206029.660   0.000E+00   1.430E+00
   20    1       5167.720   1.450E+03   2.866E-04
   20    2       5281.240   0.000E+00   2.100E-01
   20    3       5362.820   0.000E+00   1.500E-01
   20    4       5416.310   0.000E+00   9.000E-02
   20    5       5442.820   0.000E+00   3.000E-02
   20    6       8049.840   2.220E+02   3.300E-01
   20    7       8351.350   0.000E+00   2.700E-01
   20    8       8603.760   0.000E+00   2.100E-01
   20    9       8798.870   0.000E+00   1.500E-01
   20   10       8931.630   0.000E+00   9.000E-02
   20   11      13559.990   0.000E+00   2.700E-01
   20   12      14727.670   0.000E+00   2.100E-01
   20   13      15668.280   0.000E+00   1.500E-01
   20   14      55534.450   0.000E+00   2.100E-01
   20   15      61581.020   0.000E+00   1.500E-01
   20   16      70250.220   0.000E+00   9.000E-02
   20   17     102808.840   0.000E+00   1.500E-01
   20   18          0.000   0.000E+00   3.300E-01
   20   19          0.000   0.000E+00   3.900E-01
   21    1       5111.830   4.930E+03   2.830E-03
   21    2       5222.880   0.000E+00   6.300E-01
   21    3       5302.660   0.000E+00   4.500E-01
   21    4       5354.950   0.000E+00   2.700E-01
   21    5       5380.860   0.000E+00   9.000E-02
   21    6       7915.040   1.680E+02   9.900E-01
   21    7       8206.350   9.760E+00   8.100E-01
   21    8       8449.950   0.000E+00   6.300E-01
   21    9       8638.070   0.000E+00   4.500E-01
   21   10       8765.980   0.000E+00   2.700E-01
   21   11      13181.840   0.000E+00   8.100E-01
   21   12      14282.650   0.000E+00   6.300E-01
   21   13      15165.570   0.000E+00   4.500E-01
   21   14      49695.690   0.000E+00   6.300E-01
   21   15      54482.850   0.000E+00   4.500E-01
   21   16      61160.360   0.000E+00   2.700E-01
   21   17      84442.200   0.000E+00   4.500E-01
   21   18   10036130.070   0.000E+00   9.900E-01
   21   19          0.000   0.000E+00   1.170E+00
   21   20     472672.440   0.000E+00   2.700E-01
   22    1       5061.490   1.380E+02   9.900E-01
   22    2       5170.330   3.830E+03   2.780E-03
   22    3       5248.510   3.920E+02   2.977E-03
   22    4       5299.720   0.000E+00   3.300E-01
   22    5       5325.110   0.000E+00   1.100E-01
   22    6       7794.990   0.000E+00   1.210E+00
   22    7       8077.370   1.190E+02   9.900E-01
   22    8       8313.260   0.000E+00   7.700E-01
   22    9       8495.280   0.000E+00   5.500E-01
   22   10       8618.970   0.000E+00   3.300E-01
   22   11      12852.180   0.000E+00   9.900E-01
   22   12      13896.440   0.000E+00   7.700E-01
   22   13      14730.870   0.000E+00   5.500E-01
   22   14      45313.870   0.000E+00   7.700E-01
   22   15      49260.530   0.000E+00   5.500E-01
   22   16      54655.890   0.000E+00   3.300E-01
   22   17      72525.520   0.000E+00   5.500E-01
   22   18     488885.200   0.000E+00   1.210E+00
   22   19          0.000   0.000E+00   1.430E+00
   22   20     246216.880   0.000E+00   3.300E-01
   22   21     513919.510   0.000E+00   9.900E-01
   23    1       5021.970   0.000E+00   6.300E-01
   23    2       5129.110   3.800E+01   4.900E-01
   23    3       5206.030   2.290E+03   1.080E-03
   23    4       5256.410   8.310E+02   2.100E-01
   23    5       5281.380   0.000E+00   7.000E-02
   23    6       7701.650   0.000E+00   7.700E-01
   23    7       7977.190   0.000E+00   6.300E-01
   23    8       8207.190   0.000E+00   4.900E-01
   23    9       8384.540   0.000E+00   3.500E-01
   23   10       8505.000   0.000E+00   2.100E-01
   23   11      12600.410   0.000E+00   6.300E-01
   23   12      13602.560   0.000E+00   4.900E-01
   23   13      14401.050   0.000E+00   3.500E-01
   23   14      42331.610   0.000E+00   4.900E-01
   23   15      45756.250   0.000E+00   3.500E-01
   23   16      50375.300   0.000E+00   2.100E-01
   23   17      65176.470   0.000E+00   3.500E-01
   23   18     277763.890   0.000E+00   7.700E-01
   23   19          0.000   0.000E+00   9.100E-01
   23   20     178057.290   0.000E+00   2.100E-01
   23   21     285670.210   0.000E+00   6.300E-01
   23   22     643206.770   0.000E+00   7.700E-01
   24    1       4995.090   0.000E+00   8.100E-01
   24    2       5101.070   0.000E+00   6.300E-01
   24    3       5177.150   0.000E+00   4.500E-01
   24    4       5226.980   1.320E+03   8.100E-04
   24    5       5251.670   9.300E+02   9.000E-02
   24    6       7638.620   0.000E+00   9.900E-01
   24    7       7909.590   0.000E+00   8.100E-01
   24    8       8135.650   0.000E+00   6.300E-01
   24    9       8309.890   0.000E+00   4.500E-01
   24   10       8428.200   0.000E+00   2.700E-01
   24   11      12432.570   0.000E+00   8.100E-01
   24   12      13407.170   0.000E+00   6.300E-01
   24   13      14182.230   0.000E+00   4.500E-01
   24   14      40495.040   0.000E+00   6.300E-01
   24   15      43618.010   0.000E+00   4.500E-01
   24   16      47795.730   0.000E+00   2.700E-01
   24   17      60922.380   0.000E+00   4.500E-01
   24   18     214061.710   0.000E+00   9.900E-01
   24   19          0.000   0.000E+00   1.170E+00
   24   20     149531.820   0.000E+00   2.700E-01
   24   21     218726.970   0.000E+00   8.100E-01
   24   22     380795.710   0.000E+00   9.900E-01
   24   23     933384.360   0.000E+00   6.300E-01
   25    1       5157.250   0.000E+00   4.500E-01
   25    2       5270.300   0.000E+00   3.500E-01
   25    3       5351.540   0.000E+00   2.500E-01
   25    4       5404.800   0.000E+00   1.500E-01
   25    5       5431.200   4.270E+05   5.000E-02
   25    6       8024.450   0.000E+00   5.500E-01
