SEQ='SI'     NUCCHG=16                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  86978558.0   NPRNTI=10   NPRNTF=12
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          3S2 3P1             (2)1( 0.5)        0.0 
     2          3S2 3P1             (2)1( 1.5)      790.5 
     3          3S1 3P2             (4)1( 0.5)    69044.6 
     4          3S1 3P2             (4)1( 1.5)    69321.8 
     5          3S1 3P2             (4)1( 2.5)    69769.0 
     6          3S1 3P2             (2)2( 1.5)    93651.2 
     7          3S1 3P2             (2)2( 2.5)    93671.9 
     8          3S1 3P2             (2)0( 0.5)   119624.1 
     9          3S1 3P2             (2)1( 0.5)   129358.4 
    10          3S1 3P2             (2)1( 1.5)   129876.7 
    11          3S2 3D1             (2)2( 1.5)   163873.0*
    12          3S2 3D1             (2)2( 2.5)   163904.4*

   IC RESOLVED LEVEL INDEXING           BWNR=  87281654.6   NLVL=1990
   --------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1  9999    3S2 3P2             (3)1( 0.0)        0.0 
     2  9999    3S2 3P2             (3)1( 1.0)      282.0 
     3  9999    3S2 3P2             (3)1( 2.0)      793.9 
     4  9999    3S2 3P2             (1)2( 2.0)    12570.4 
     5  9999    3S2 3P2             (1)0( 0.0)    27844.3 
     6  9999    3S1 3P3             (5)0( 2.0)    52955.6 
     7  9999    3S1 3P3             (3)2( 1.0)    82197.2 
     8  9999    3S1 3P3             (3)2( 2.0)    82207.8 
     9  9999    3S1 3P3             (3)2( 3.0)    82240.8 
    10  9999    3S1 3P3             (3)1( 2.0)    96741.1 
    11  9999    3S1 3P3             (3)1( 1.0)    96748.8 
    12  9999    3S1 3P3             (3)1( 0.0)    96750.6 
    13  9999    3S1 3P3             (1)2( 2.0)   111310.0 
    14  9999    3S1 3P3             (3)0( 1.0)   133758.3 
    15  9999    3S1 3P3             (1)1( 1.0)   139400.8 
    16  9999    3S2 3P1 3D1         (3)3( 2.0)   145041.2 
    17  9999    3S2 3P1 3D1         (3)3( 3.0)   145320.8 
    18  9999    3S2 3P1 3D1         (3)3( 4.0)   145698.3 
    19  9999    3S2 3P1 3D1         (1)2( 2.0)   165707.3 
    20  9999    3S2 3P1 3D1         (3)1( 2.0)   167291.5 
    21  9999    3S2 3P1 3D1         (3)1( 1.0)   167470.6 
    22  9999    3S2 3P1 3D1         (3)1( 0.0)   167590.8 
    23     1    3S2 3P1 4S1         (3)1( 0.0)   168539.5 
    24     1    3S2 3P1 4S1         (3)1( 1.0)   168775.7 
    25     2    3S2 3P1 4S1         (3)1( 2.0)   169329.7 
    26  9999    3S2 3P1 3D1         (3)2( 1.0)   173043.0 
    27  9999    3S2 3P1 3D1         (3)2( 2.0)   173145.4 
    28  9999    3S2 3P1 3D1         (3)2( 3.0)   173260.9 
    29     2    3S2 3P1 4S1         (1)1( 1.0)   173893.5 
    30  9999    3P4                 (3)1( 2.0)   184125.7 
    31  9999    3P4                 (3)1( 1.0)   184591.4 
    32  9999    3P4                 (3)1( 0.0)   184802.3 
    33  9999    3P4                 (1)2( 2.0)   189100.5 
    34     1    3S2 3P1 4P1         (1)1( 1.0)   191132.3 
    35  9999    3S2 3P1 3D1         (1)3( 3.0)   193159.9 
    36     1    3S2 3P1 4P1         (3)2( 1.0)   193579.4 
    37     1    3S2 3P1 4P1         (3)2( 2.0)   193856.8 
    38     2    3S2 3P1 4P1         (3)2( 3.0)   194369.8 
    39     1    3S2 3P1 4P1         (3)1( 0.0)   195717.4 
    40     2    3S2 3P1 4P1         (3)1( 1.0)   195882.1 
    41  9999    3S2 3P1 3D1         (1)1( 1.0)   196161.8 
    42     2    3S2 3P1 4P1         (3)1( 2.0)   196226.6 
    43  9999    3S1 3P2 3D1         (5)3( 1.0)   197428.1 
    44  9999    3S1 3P2 3D1         (5)3( 2.0)   197523.2 
    45  9999    3S1 3P2 3D1         (5)3( 3.0)   197667.1 
    46     2    3S2 3P1 4P1         (3)0( 1.0)   197726.6 
    47  9999    3S1 3P2 3D1         (5)3( 4.0)   197861.4 
    48  9999    3S1 3P2 3D1         (5)3( 5.0)   198108.1 
    49     2    3S2 3P1 4P1         (1)2( 2.0)   201003.4 
    50  9999    3S1 3P2 3D1         (5)2( 0.0)   203504.9 
    51  9999    3S1 3P2 3D1         (5)2( 1.0)   203531.1 
    52  9999    3S1 3P2 3D1         (5)2( 2.0)   203583.4 
    53  9999    3S1 3P2 3D1         (5)2( 3.0)   203661.8 
    54  9999    3S1 3P2 3D1         (5)2( 4.0)   203766.3 
    55     2    3S2 3P1 4P1         (1)0( 0.0)   209140.3 
    56  9999    3S1 3P2 3D1         (3)3( 2.0)   214225.9 
