SEQ='SI'     NUCCHG=14                                                  /LS/

   PARENT TERM INDEXING                 BWNP=  63496277.5   NPRNTI= 5   NPRNTF= 6
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          3S2 3P1             (2)1( 2.5)        0.0 
     2          3S1 3P2             (4)1( 5.5)    39975.6 
     3          3S1 3P2             (2)2( 4.5)    55707.8 
     4          3S1 3P2             (2)0( 0.5)    73644.4 
     5          3S1 3P2             (2)1( 2.5)    80374.2 
     6          3S2 3D1             (2)2( 4.5)    95753.2*

   LS RESOLVED TERM INDEXING            BWNR=  63582351.2   NTRM= 793
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     1  9999    3S2 3P2             (3)1( 4.0)        0.0 
     2  9999    3S2 3P2             (1)2( 2.0)     8048.7 
     3  9999    3S2 3P2             (1)0( 0.0)    17697.0 
     4  9999    3S1 3P3             (5)0( 2.0)    27060.9 
     5  9999    3S1 3P3             (3)2( 7.0)    45726.6 
     6  9999    3S1 3P3             (3)1( 4.0)    55202.4 
     7     1    3S2 3P1 4S1         (3)1( 4.0)    60723.4 
     8  9999    3S2 3P1 3D1         (1)2( 2.0)    61636.3 
     9     1    3S2 3P1 4S1         (1)1( 1.0)    64044.0 
    10     1    3S2 3P1 4P1         (1)1( 1.0)    67833.6 
    11     1    3S2 3P1 4P1         (3)2( 7.0)    68999.0 
    12     1    3S2 3P1 4P1         (3)1( 4.0)    69527.9 
    13     1    3S2 3P1 4P1         (3)0( 1.0)    70565.2 
    14     1    3S2 3P1 4P1         (1)2( 2.0)    71423.0 
    15     1    3S2 3P1 4P1         (1)0( 0.0)    74494.5 
    16     1    3S2 3P1 5S1         (3)1( 4.0)    74774.9 
    17     1    3S2 3P1 5S1         (1)1( 1.0)    75501.1 
    18  9999    3S2 3P1 3D1         (3)3(10.0)    76925.6 
    19     1    3S2 3P1 5P1         (1)1( 1.0)    77103.5 
    20     1    3S2 3P1 5P1         (3)2( 7.0)    77455.1 
    21     1    3S2 3P1 4D1         (1)2( 2.0)    77629.2 
    22     1    3S2 3P1 5P1         (3)1( 4.0)    77637.0 
    23     1    3S2 3P1 4D1         (3)3(10.0)    77640.2 
    24     1    3S2 3P1 5P1         (3)0( 1.0)    77920.6 
    25     1    3S2 3P1 5P1         (1)2( 2.0)    78226.2 
    26     1    3S2 3P1 4D1         (3)1( 4.0)    79020.1 
    27     1    3S2 3P1 4F1         (1)3( 3.0)    79053.7 
    28     1    3S2 3P1 4F1         (3)3(10.0)    79061.8 
    29     1    3S2 3P1 4D1         (3)2( 7.0)    79127.7 
    30     1    3S2 3P1 5P1         (1)0( 0.0)    79185.2 
    31     1    3S2 3P1 4F1         (3)4(13.0)    79247.2 
    32     1    3S2 3P1 4F1         (1)4( 4.0)    79278.7 
    33     1    3S2 3P1 4F1         (3)2( 7.0)    79326.2 
    34     1    3S2 3P1 4F1         (1)2( 2.0)    79344.0 
    35     1    3S2 3P1 6S1         (3)1( 4.0)    79630.5 
    36     1    3S2 3P1 6S1         (1)1( 1.0)    79915.0 
    37     1    3S2 3P1 6P1         (1)1( 1.0)    80688.6 
    38  9999    3S1 3P3             (3)0( 1.0)    80715.0 
    39     1    3S2 3P1 6P1         (3)2( 7.0)    80841.9 
    40     1    3S2 3P1 5D1         (1)2( 2.0)    80884.7 
    41     1    3S2 3P1 5D1         (3)3(10.0)    80914.8 
    42     1    3S2 3P1 6P1         (3)1( 4.0)    80927.7 
    43     1    3S2 3P1 6P1         (3)0( 1.0)    81043.4 
    44     1    3S2 3P1 6P1         (1)2( 2.0)    81189.0 
    45     1    3S2 3P1 4D1         (1)1( 1.0)    81287.4 
    46     1    3S2 3P1 4D1         (1)3( 3.0)    81354.7 
    47     1    3S2 3P1 5D1         (3)1( 4.0)    81433.8 
    48     1    3S2 3P1 5D1         (3)2( 7.0)    81440.0 
    49     1    3S2 3P1 5F1         (1)3( 3.0)    81598.5 
    50     1    3S2 3P1 5F1         (3)3(10.0)    81604.9 
    51     1    3S2 3P1 6P1         (1)0( 0.0)    81615.1 
    52     1    3S2 3P1 5G1         (1)5( 5.0)    81615.4 
    53     1    3S2 3P1 5G1         (1)4( 4.0)    81615.4 
    54     1    3S2 3P1 5G1         (3)4(13.0)    81615.4 
    55     1    3S2 3P1 5G1         (3)5(16.0)    81615.4 
    56     1    3S2 3P1 5G1         (3)3(10.0)    81615.4 
    57     1    3S2 3P1 5G1         (1)3( 3.0)    81615.4 
    58     1    3S2 3P1 5F1         (3)4(13.0)    81695.8 
    59     1    3S2 3P1 5F1         (1)4( 4.0)    81721.0 
    60     1    3S2 3P1 5F1         (3)2( 7.0)    81738.9 
