Total line luminosity    2.481E+36
    Ar II       69850.00   3.532E+35   1.000E+00
    Ar III      89913.84   3.425E+35   9.698E-01
    S  III       9529.76   3.319E+35   9.398E-01
    Si II      348100.00   3.166E+35   8.965E-01
    S  IV      105077.33   2.675E+35   7.574E-01
    S  III     186992.46   2.660E+35   7.533E-01
    O  III       5008.23   1.725E+35   4.884E-01
    C  I         9824.09   8.477E+34   2.400E-01
    O  III       4960.29   5.990E+34   1.696E-01
    S  III       9067.64   5.861E+34   1.660E-01
    S  III     334936.50   5.777E+34   1.636E-01
    Ca IV       32068.49   3.513E+34   9.948E-02
    Ar III       7137.75   1.775E+34   5.027E-02
    Ar III     218314.71   1.251E+34   3.542E-02
    Fe II      259813.73   1.131E+34   3.201E-02
    O  IV      258800.00   1.109E+34   3.139E-02
    Ar V        79140.79   7.787E+33   2.205E-02
    S  II        6730.88   5.354E+33   1.516E-02
    Ar IV        4712.69   5.329E+33   1.509E-02
    S  II        4068.64   5.327E+33   1.508E-02
    Ca V        41585.20   4.902E+33   1.388E-02
    Ar VI       45292.20   4.824E+33   1.366E-02
    Ar III       7753.24   4.289E+33   1.214E-02
    O  III     518134.34   3.040E+33   8.607E-03
    Ar V       130679.57   2.956E+33   8.370E-03
    S  III       6311.96   2.856E+33   8.087E-03
    Fe II      353397.67   2.265E+33   6.413E-03
    S  II        6716.49   2.209E+33   6.256E-03
    Fe III     229192.40   2.138E+33   6.054E-03
    S  II        4076.38   1.779E+33   5.038E-03
    O  II        3734.34   1.700E+33   4.813E-03
    Si III       1892.00   1.624E+33   4.598E-03
    S  III       3721.43   1.615E+33   4.573E-03
    Ar V         7007.65   1.607E+33   4.549E-03
    S  II       10320.67   1.524E+33   4.316E-03
    S  II       10286.87   1.297E+33   3.673E-03
    S  II       10336.48   1.182E+33   3.346E-03
    Fe VI        3094.99   8.345E+32   2.363E-03
    Ar V         6437.62   7.500E+32   2.124E-03
    Ar IV        4741.49   7.070E+32   2.002E-03
    Fe VI        3095.80   6.462E+32   1.830E-03
    Si II        2335.00   6.024E+32   1.706E-03
    O  II        7336.09   5.789E+32   1.639E-03
    Fe II      179315.42   5.712E+32   1.617E-03
    O  III       4364.45   5.191E+32   1.470E-03
    Fe II       53388.60   5.161E+32   1.461E-03
    Fe VI        3094.56   5.078E+32   1.438E-03
    S  III       8828.62   4.982E+32   1.411E-03
    S  II       10370.60   4.879E+32   1.381E-03
    Fe III     330273.30   4.870E+32   1.379E-03
    Ar IV        2868.99   4.611E+32   1.306E-03
    O  II        2474.65   4.494E+32   1.272E-03
    S  IV        1406.03   4.220E+32   1.195E-03
    O  III     883391.59   3.626E+32   1.027E-03
    Fe V         2835.77   3.445E+32   9.756E-04
    S  IV        1416.90   3.203E+32   9.068E-04
    Fe II      512869.89   3.182E+32   9.009E-04
    Fe V        33911.24   3.087E+32   8.740E-04
    Ne II      128140.00   2.937E+32   8.317E-04
    Si IV        1400.00   2.933E+32   8.303E-04
    Ar III       3110.07   2.772E+32   7.849E-04
    O  III       1664.00   2.693E+32   7.625E-04
    Ca V         5310.59   2.496E+32   7.066E-04
    Ca V       114823.66   2.451E+32   6.939E-04
    Ar IV        2854.48   1.922E+32   5.443E-04
    Fe VII       3095.80   1.813E+32   5.133E-04
    Fe V         3094.99   1.356E+32   3.840E-04
    Fe VI        2567.63   1.353E+32   3.832E-04
    O  III       2321.67   1.223E+32   3.462E-04
    Fe VI        2570.17   1.215E+32   3.439E-04
    Fe VI       29010.68   1.171E+32   3.315E-04
    C  I         4622.67   1.165E+32   3.299E-04
    Si I       684547.46   1.135E+32   3.215E-04
    Fe I       240360.17   1.111E+32   3.146E-04
    Ar III       5193.26   1.100E+32   3.114E-04
    Fe VII       3094.99   1.013E+32   2.867E-04
    Si I        16454.52   1.003E+32   2.839E-04
    Fe II      245121.96   9.978E+31   2.825E-04
    Fe VI       15432.32   8.179E+31   2.316E-04
    Fe VI        2835.77   7.274E+31   2.060E-04
    S  IV        1423.85   7.227E+31   2.046E-04
    Al II        2670.00   6.921E+31   1.960E-04
    Ar IV        7333.42   6.746E+31   1.910E-04
    Fe VI       32971.77   6.635E+31   1.879E-04
    Fe II       48879.57   6.604E+31   1.870E-04
    Fe III     516660.09   6.414E+31   1.816E-04
    Fe VI        2829.39   6.329E+31   1.792E-04
    O  III       3266.00   5.931E+31   1.679E-04
    Fe VI       28644.94   5.756E+31   1.630E-04
    Fe V         1997.97   5.579E+31   1.580E-04
    Fe V         2577.94   5.361E+31   1.518E-04
    Ar IV        7239.39   5.302E+31   1.501E-04
    O  IV        3027.00   5.176E+31   1.466E-04
    Ar IV        7264.74   5.161E+31   1.461E-04
    Si I      1296410.30   5.022E+31   1.422E-04
    Fe VII       2835.77   4.949E+31   1.401E-04
    S  IV        1404.82   4.946E+31   1.400E-04
    Ca V         6088.05   4.851E+31   1.373E-04
    Ne III     155550.88   4.336E+31   1.228E-04
    Fe VI       33859.55   4.052E+31   1.147E-04
    C  I         8730.99   4.044E+31   1.145E-04
    Fe VI       15412.34   3.823E+31   1.082E-04
    Si I        16068.29   3.642E+31   1.031E-04
    S  IV        1398.05   3.641E+31   1.031E-04
    Fe V         5795.99   3.376E+31   9.559E-05
    Fe V        15443.05   3.192E+31   9.037E-05
    Fe VI       33911.24   2.953E+31   8.360E-05
    O  III       3762.00   2.828E+31   8.007E-05
    Mg I         4572.00   2.698E+31   7.639E-05
    Fe VII       3094.56   2.667E+31   7.551E-05
    Fe V        27157.17   2.561E+31   7.252E-05
    S  I       252402.29   2.451E+31   6.939E-05
    O  III       4932.59   2.449E+31   6.935E-05
    O  IV        1400.00   2.373E+31   6.718E-05
    Fe I       347046.64   2.301E+31   6.515E-05
    Fe V        27134.32   2.228E+31   6.309E-05
    Ar III      63684.93   1.989E+31   5.631E-05
    Fe II      873590.76   1.979E+31   5.603E-05
    Fe IV        2835.77   1.962E+31   5.554E-05
    Fe V         2829.39   1.572E+31   4.450E-05
    S  III     119998.32   1.409E+31   3.990E-05
    Fe II       46065.17   1.368E+31   3.874E-05
    Fe V         2017.88   1.309E+31   3.705E-05
    Fe II       12566.92   1.264E+31   3.578E-05
    Fe II       16435.65   1.219E+31   3.452E-05
    Fe V         9428.53   1.191E+31   3.372E-05
    Ar V         2692.02   1.187E+31   3.362E-05
    Fe V        15063.08   1.165E+31   3.298E-05
    Fe VI        2577.94   1.122E+31   3.176E-05
    Ne V       143210.36   1.121E+31   3.175E-05
    Fe IV        2829.39   1.113E+31   3.151E-05
    Fe II      357673.68   1.101E+31   3.117E-05
    Fe II       56725.45   1.061E+31   3.004E-05
    Ar IV        7172.46   1.056E+31   2.991E-05
    Fe V        32193.51   1.048E+31   2.968E-05
    Fe VII      33911.24   9.153E+30   2.592E-05
    Si I        10991.41   8.968E+30   2.539E-05
    Fe V         7925.09   8.666E+30   2.454E-05
    Fe VII       2823.53   8.425E+30   2.385E-05
    Fe VII      28055.71   8.409E+30   2.381E-05
    Fe VII      15412.34   7.728E+30   2.188E-05
    Fe VII      15432.32   7.554E+30   2.139E-05
    Fe V         3095.80   7.404E+30   2.096E-05
    Fe VI       27443.44   6.696E+30   1.896E-05
    Fe VII      32971.77   6.688E+30   1.894E-05
    Fe III       5270.45   6.515E+30   1.845E-05
    Ne III       3869.85   6.336E+30   1.794E-05
    Fe VII      27443.44   5.961E+30   1.688E-05
    Fe V        27732.73   5.735E+30   1.624E-05
    Fe III       4658.10   5.719E+30   1.619E-05
    Fe III       4881.04   5.703E+30   1.615E-05
    S  I       563033.63   5.456E+30   1.545E-05
    Fe II       40753.04   5.252E+30   1.487E-05
    O  V         1216.00   4.771E+30   1.351E-05
    Fe V         5798.81   4.576E+30   1.296E-05
    Fe V         7266.99   3.919E+30   1.110E-05
    Ar V         4626.82   3.860E+30   1.093E-05
    Fe V         8869.19   3.768E+30   1.067E-05
    Fe V        15412.34   3.731E+30   1.057E-05
    Fe II       13205.67   3.324E+30   9.411E-06
    Fe I       542954.81   3.100E+30   8.777E-06
    Ar III       3006.10   3.059E+30   8.661E-06
    Fe II       50610.97   3.033E+30   8.589E-06
    Fe II       15334.86   3.002E+30   8.500E-06
    Al III       1858.00   2.765E+30   7.829E-06
    Fe III       4701.58   2.562E+30   7.254E-06
    Fe V         6224.64   2.520E+30   7.136E-06
    Fe II       44337.23   2.519E+30   7.133E-06
    Fe II       18094.12   2.444E+30   6.921E-06
    Fe II       13718.29   2.377E+30   6.729E-06
    Fe II       12942.82   2.257E+30   6.391E-06
    Fe IV        2567.63   2.220E+30   6.286E-06
    S  III       3797.00   2.196E+30   6.217E-06
    Fe II       16768.93   2.191E+30   6.204E-06
    Al II        1671.00   2.169E+30   6.140E-06
    Fe VII      15443.05   2.153E+30   6.095E-06
    Ne III     360134.29   2.148E+30   6.082E-06
    Fe III    1053463.93   2.064E+30   5.844E-06
    Fe V         7557.43   2.057E+30   5.826E-06
    Fe V         8024.13   2.020E+30   5.721E-06
    Ne III       3968.58   1.958E+30   5.545E-06
    Fe V         7191.30   1.946E+30   5.510E-06
    Fe V        38082.32   1.937E+30   5.486E-06
    Fe II       15994.87   1.890E+30   5.351E-06
    Fe III       5011.31   1.866E+30   5.283E-06
    S  II        1259.53   1.855E+30   5.254E-06
    Ne V       243174.52   1.824E+30   5.165E-06
    Ne IV        2421.48   1.797E+30   5.087E-06
    Fe VII      28356.51   1.789E+30   5.064E-06
    O  VI        1034.00   1.715E+30   4.857E-06
    Fe II       40809.30   1.683E+30   4.766E-06
    S  IV        1072.98   1.624E+30   4.597E-06
    Fe V         6826.55   1.614E+30   4.571E-06
    Fe VI       32193.51   1.604E+30   4.542E-06
    Fe V         7192.90   1.581E+30   4.475E-06
    Fe V         8993.42   1.561E+30   4.419E-06
    Fe II       18000.34   1.492E+30   4.224E-06
    Fe V         4144.24   1.391E+30   3.939E-06
    Fe II       12787.88   1.385E+30   3.923E-06
    Fe V        15070.12   1.315E+30   3.724E-06
    Fe II       13277.90   1.300E+30   3.681E-06
    Fe VII      32193.51   1.281E+30   3.626E-06
    Ne V         3426.86   1.248E+30   3.535E-06
    Fe III       4733.95   1.221E+30   3.458E-06
